salon;edition_annee;entreprise;secteur_metier;site_web;email;type_email;email_origine;email_annuaire;email_site;email_site_source;nom_contact;fonction;ville;departement;telephone;source_url;date_collecte;statut_validation;segment_ICP
Medfel;2026;CULTURE POM;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/culture-pom/;2026-06-20;a_enrichir;Haute
Medfel;2026;VIALADE CHAMPIGNONS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/vialade-champignons/;2026-06-20;a_enrichir;Haute
Medfel;2026;VERGERS CANCEL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/vergers-cancel/;2026-06-20;a_enrichir;Haute
Medfel;2026;DISMA INTERNATIONAL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/disma-international/;2026-06-20;a_enrichir;Haute
Medfel;2026;ROYAL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/royal/;2026-06-20;a_enrichir;Haute
Medfel;2026;PORT DE BARCELONA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/port-de-barcelona/;2026-06-20;a_enrichir;Haute
Medfel;2026;FRUTAMINE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/frutamine/;2026-06-20;a_enrichir;Haute
Medfel;2026;FORCE SUD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/force-sud/;2026-06-20;a_enrichir;Haute
Medfel;2026;ALBAFRUIT SARL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/albafruit-sarl/;2026-06-20;a_enrichir;Haute
Medfel;2026;FONTESTAD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/fontestad/;2026-06-20;a_enrichir;Haute
Medfel;2026;FAUS DURA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/faus-dura/;2026-06-20;a_enrichir;Haute
Medfel;2026;AGRUCORSE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/agrucorse/;2026-06-20;a_enrichir;Haute
Medfel;2026;ETIQUETTES X2C;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/etiquettes-x2c/;2026-06-20;a_enrichir;Haute
Medfel;2026;EIE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/eie/;2026-06-20;a_enrichir;Haute
Medfel;2026;DOMAINE DES COTEAUX;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/domaine-des-coteaux/;2026-06-20;a_enrichir;Haute
Medfel;2026;DEL SOL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/del-sol/;2026-06-20;a_enrichir;Haute
Medfel;2026;COFRUID’OC MEDITERRANEE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/cofruidoc-mediterranee/;2026-06-20;a_enrichir;Haute
Medfel;2026;AGRISPA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/agrispa/;2026-06-20;a_enrichir;Haute
